AnimalID,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,percent,Health_condition,SexOutcome,WildMammalsOrNot,DaysInShelter
A798455,6,Austin,Stray,Normal,Cat,Intact Male,38,Domestic Cat Breed,Pattern,8,5,Intact Male,82,1.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A788252,1,Austin,Stray,Normal,Livestock,Unknown,122,Pig,Gray,1,9,Unknown,122,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A742086,1,Austin,Stray,Injured,Cat,Intact Male,122,Domestic Cat Breed,Bi color,1,9,Neutered Male,128,0.0,0.15552099533437014,Unhealthy,Sterilized,Not Wild Mammals,more than 3 days
A651543,3,Austin,Owner Surrender,Normal,Dog,Neutered Male,384,Toy Breed,Bi color,3,2,Neutered Male,394,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A789142,2,Austin,Stray,Normal,Cat,Intact Female,31,Domestic Cat Breed,Pattern,4,1,Spayed Female,91,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A757485,9,Austin,Owner Surrender,Normal,Cat,Intact Male,107,Domestic Cat Breed,Pattern,9,5,Neutered Male,114,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A703179,5,Austin,Stray,Injured,Cat,Intact Male,52,Domestic Cat Breed,Bi color,5,3,Intact Male,52,1.0,0.38314176245210724,Unhealthy,Intact,Not Wild Mammals,0-1 days
A579961,11,Austin,Stray,Normal,Dog,Neutered Male,3047,Toy Breed,Brown series,11,7,Neutered Male,3050,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A738334,12,Pflugerville,Public Assist,Normal,Dog,Neutered Male,779,Retriever Dog Breed,Bi color,1,11,Neutered Male,789,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A734307,9,Austin,Public Assist,Normal,Dog,Spayed Female,1096,Toy Breed,Brown series,9,9,Spayed Female,1101,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A675435,3,Austin,Owner Surrender,Normal,Dog,Spayed Female,424,Toy Breed,Black,3,1,Spayed Female,427,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A737251,10,Austin,Stray,Normal,Dog,Spayed Female,366,Herding Dog Breed,Bi color,11,10,Spayed Female,385,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A687496,9,Travis,Stray,Normal,Cat,Unknown,3,Domestic Cat Breed,Bi color,9,9,Unknown,3,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A760457,10,Austin,Stray,Other,Dog,Neutered Male,3653,Terrier Dog Breed,Bi color,11,10,Neutered Male,3696,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
